"Uniprot_ID","Gene_names","Protein_names","pVal","WT_Relative_amplitudes","phase","peak.shape","period","X1.WT1","X2.WT1","X3.WT1","X4.WT1","X5.WT1","X6.WT1","X7.WT1","X8.WT1","X9.WT2","X10.WT2","X11.WT2","X12.WT2","X13.WT2","X14.WT2","X15.WT2","X16.WT2","X17.WT3","X18.WT3","X19.WT3","X20.WT3","X21.WT3","X22.WT3","X23.WT3","X24.WT3"
"P23798","Pcgf2","Polycomb group RING finger protein 2",0.0337116708333984,0.147836164490963,15,12,24,20249.4096436177,18680.0411556924,26196.2403776412,25883.7653195251,21573.6930068034,21028.218579726,22479.3814709287,21021.41519344,19197.9546656209,19812.5429887096,18279.0589068061,21123.3760676507,20633.6980384367,20538.1798162125,20671.9629948935,20155.479885776,18957.5365082062,21193.5588020081,20541.7423648101,20125.9147459666,21933.2428984795,21242.7251414392,21317.6666064543,20833.4774640923
"Q8BN32","Pabpc1","Polyadenylate-binding protein;Polyadenylate-binding protein 1",0.0468919996693057,0.11545162732721,12,9,24,2525024.80495518,2487540.07693003,2502829.9206059,2535930.13713372,2454845.34227584,2435044.23333859,2473141.7201259,2445567.93223336,2372816.62193623,2450689.38695796,2262375.46761308,2526890.21409223,2352687.7758533,2565969.38445006,2371902.05509169,2501011.71573795,2455779.21119885,2502742.64371697,2525812.4726196,2534143.06565979,2491609.2138097,2534437.86918546,2443145.43262111,2478363.51885989
"Q545N7","Ckmt1","Creatine kinase U-type, mitochondrial",0.0286796073462654,0.152483406788513,21,6,24,228422.581724,233437.911749159,229775.234056578,229508.243237838,232733.855501006,232959.841112039,233443.199334399,225926.562307881,230353.980467664,240153.655021026,246561.127106698,253218.39675172,251125.537193903,261119.394710631,247432.826859307,254921.703902507,224617.939354669,246167.55680032,242186.029048522,257375.573550396,245220.376871135,255070.327682675,268272.17902909,259909.412122794
"Q0PD54","Rab6a","Ras-related protein Rab-6A",0.0238365349327059,0.106925075590398,24,12,24,514856.227842708,560758.697603785,513095.977809511,484772.969177789,492345.574236844,492597.695835752,534989.356946841,545184.076645431,540009.438104956,534848.815725824,536539.797313539,512763.657309264,551254.274947655,550296.881586923,559459.228516313,568613.154185567,535485.235398772,543368.2555042,520615.278724874,554365.533399854,532687.558600385,585498.212645062,560873.619541134,561045.209294796
"P37172","Acvr1","Activin receptor type-1;Receptor protein serine/threonine kinase",0.0254929843077914,0.163386876892702,24,9,24,33671.3167706183,39595.325390768,33632.8191714585,34317.242252245,34904.2771549713,34883.7226752777,35242.1935584925,38109.0288952142,34798.9271572716,33145.9723794704,32870.6727990181,32592.0663955657,33291.2519167798,34271.2056540898,35731.7845172625,37972.2336351701,33506.3628408558,38216.6544805502,34165.4919852414,38011.3508704513,31034.408802203,35603.2661474753,33658.7143957116,38484.7632476948
"Q9DCW5","Cox6a1","Cytochrome c oxidase subunit 6A, mitochondrial;Cytochrome c oxidase subunit 6A1, mitochondrial",0.0181997645551084,0.118284969427011,12,12,24,637255.417271108,635698.110512329,643134.358002584,650138.617328709,650988.421163678,645284.173386834,631499.374470292,629806.383657266,674532.411631809,692784.146278389,706179.989982997,688266.743825055,653350.525756083,643814.506865702,641160.504395287,628794.81927059,646637.828176046,622352.614346334,659907.260347681,660930.085402408,675984.399176457,644040.994716588,667507.642078341,648429.183923374
"P43407","Sdc2","Syndecan-2;Syndecan",0.000855453079996769,0.265906749613513,3,12,24,49268.1729467251,44258.3575707729,45289.2371716969,46403.2610520958,42453.5700743172,44930.4316419019,44829.4922227499,40210.9331485729,47383.8531595871,47653.9209404553,44429.6948922968,39146.3499245933,42329.1463549145,44658.9714218142,48858.7208554,51988.8560568942,49234.9786417235,49726.3046658801,43834.2195053035,43547.2574390472,44060.9665004875,43286.3799543361,44673.3176877688,49838.2770202514
"Q3U5W6","S1pr2","Sphingosine 1-phosphate receptor 2",0.00166493082098606,0.379372809851086,21,18,24,22130.3433322027,25361.7942315652,23612.6759207801,22360.4965896049,23295.8222349669,23387.4140283336,26109.9436827381,26251.8977406016,25699.2384207954,26984.548664233,20987.7108188353,22852.6563668877,20620.2218092164,25730.1581172842,26841.6199250712,27897.7952522903,23373.0390188547,21390.318419274,18663.5610920381,19676.2740736303,19659.2064255187,22240.5871798846,24105.5427159374,22469.0123746496
"P54754","Ephb3","Ephrin type-B receptor 3;Receptor protein-tyrosine kinase",0.0381860490679311,0.110285069329055,24,9,24,152121.457779562,151146.72686453,149184.904535992,146988.077057831,148944.447260955,143757.755368668,158870.747000307,158534.734337555,153597.788928317,148085.534006954,154070.092742013,150795.010491882,155088.385802649,151968.389464933,157985.380577751,152943.671202314,157256.364523887,163356.116594428,146661.349116335,158465.987376398,148193.334019847,163170.093779533,154462.242640846,167731.637491823
"Q6PEM5","Lrpap1","Alpha-2-macroglobulin receptor-associated protein",0.008946499936907,0.121831890079447,12,6,24,846933.129834073,875923.04678609,880003.121590555,895158.330920049,874884.089001456,870792.796587315,890125.761240829,871447.62455054,894127.413765945,958033.361121403,882609.995626232,915412.218488375,850915.319493847,872928.45163164,871150.333730135,867884.724282254,894805.675157908,881872.386936522,920064.107777164,887961.052652524,879197.691323874,820685.89726845,877150.011657631,853686.967829934
"Q564F6","Pdcd5","Programmed cell death protein 5",0.0284703032237984,0.108936208024986,9,15,24,290286.462956145,272959.879488992,283140.825433855,281091.363903728,285487.613281379,276972.387827727,284546.799586923,264855.658195762,278254.400927726,288289.976840127,286626.865719693,290488.656417072,270032.256353178,276032.07885694,270729.810844909,267009.232838777,284314.138802693,277831.530666724,290494.558821462,283399.784435805,285687.512635798,280668.354272197,278633.427031094,283733.44969769
"Q3TLX9","Smpdl3b","Acid sphingomyelinase-like phosphodiesterase 3b",0.008946499936907,0.121486876598978,21,18,24,116294.068506537,122316.331115558,125112.143518403,117410.174912422,116155.658109168,117963.536554201,126872.842393931,129105.434203849,119377.538751265,125790.447456976,117148.280956272,116160.678607062,119263.007566561,118645.882647979,127885.800835946,125041.661159945,124046.989456812,119663.43955476,116152.65775253,121247.090746104,119287.629160764,126601.489685502,122221.353586715,123878.592945573
"P58742","Aaas","Aladin",0.00547999914320111,0.11156595880518,21,12,24,58462.5126103434,62345.5095509727,57755.7434684642,61683.6758946029,60829.2546837183,61991.4591565993,62888.9265158497,63648.1238264818,57502.3815964838,61923.0016757525,61869.2954671554,60666.0206119828,61872.2590331815,64264.2437198254,63439.3254921309,60939.7599995826,58063.7685404907,59972.3154738452,56862.3284288958,58734.9154468375,58611.9534191422,60365.5217705188,62668.3710498139,61566.8242387116
"Q6P1Z6","Pcmtd1","Protein-L-isoaspartate O-methyltransferase domain-containing protein 1",0.00809027958687236,0.234523413463482,24,9,24,14738.6248085918,16091.755854458,14689.5965860186,16280.4915732415,19052.6377532836,16440.5943929338,16911.1486695033,16388.5280961869,16853.2313980997,15399.5665979149,15034.8739451178,14987.6858426996,15074.7704779872,15852.6502251756,14828.2517186919,16871.0870787377,14741.7473649249,14490.5019470193,15113.0894791569,15420.8811520268,15950.9230449261,16817.8220390888,17009.0026092006,18144.0802431107
"P60898","Polr2i","DNA-directed RNA polymerase II subunit RPB9;DNA-directed RNA polymerase subunit",0.00924961567214477,0.1622089578331,9,15,24,41501.3149531048,44845.4107202161,47642.7988806694,47221.0147932011,43807.8096630583,43927.6197088278,41003.1755985121,41278.8865963502,43455.3772795932,38933.22042119,44263.952347861,42554.0592440259,44027.4598685024,40108.6656382536,42497.9038038711,40368.3843460134,47813.1483136149,45397.5143432736,44602.2112550493,44700.9853817901,46228.7262561256,44213.7544936934,43665.1613773839,43590.4258777762
"Q3U344","Arf3","ADP-ribosylation factor 3",0.00366318366726206,0.108947898951386,24,9,24,3153087.99872196,3241911.10608636,3218633.07839928,3153489.33038064,3125407.0782324,3134448.73761625,3304573.93688324,3288387.33233385,3181679.64848295,3115383.48110093,2976039.03665581,3178820.249087,3109014.54458952,3293901.81493111,3238995.45288853,3334451.33164119,3185662.22207994,3204828.65783469,3200598.09133127,3235763.37177517,3237708.25772824,3261137.73443873,3306657.96562151,3312011.88276579
"P61961","Ufm1","Ubiquitin-fold modifier 1",0.00447064757486997,0.107199905248345,9,15,24,320123.911581302,304277.48870565,315356.704761247,316429.604114542,311508.387295345,304984.639932404,309626.924003417,301844.006091945,305059.222312033,299592.896553191,326919.013028943,316670.055984465,323555.701561074,304861.782512523,299294.026882993,292151.527989205,313264.728958787,305272.641139701,316151.702147269,302082.813981279,317043.641685141,314380.239613617,307477.840609392,304632.231817639
"Q9CWI9","Rps23","40S ribosomal protein S23",0.0165896970593894,0.187400697523183,15,9,24,239251.60813787,224843.621051224,241625.883228764,245205.58948064,241555.818115617,245903.598760563,225046.81402331,201890.286538096,210685.078090286,211070.408033944,223457.460675618,217240.037559989,226149.489261218,214606.847048322,200913.858209312,199483.650008576,216546.945593956,206669.955322381,209882.542303461,215374.649869884,214507.146132163,218319.703727489,214984.993282828,204743.823273353
"P62862","Fau","40S ribosomal protein S30",0.00139598390014321,0.152969143955258,9,15,24,182304.037783688,185618.656532113,185651.424433277,202462.583537729,175743.793317411,186529.947021806,166045.855869019,160028.153519254,166788.616869101,173846.787954681,178711.677610828,171878.10124013,169476.481297386,163592.488993364,162511.405440684,155075.367373218,174775.163133434,164210.580164205,166304.439100357,171937.127329515,171098.432452317,172612.503175394,167863.505586589,161848.483155922
"P70340","Smad1","Mothers against decapentaplegic homolog 1;Mothers against decapentaplegic homolog",0.013634672189248,0.42629061475984,15,12,24,4767.5075575041,6250.81413382598,8711.35743506842,8370.86654578588,8454.19963059511,7960.81240203887,6489.37875346471,5626.18228400638,7705.4508976758,6870.84408068836,8263.05649026146,7672.96349602959,7779.02103611624,8221.20514320145,7954.91409859142,8142.12670814345,6941.78413502176,7549.47594064661,8168.77263264128,6976.11770018551,8563.08213254239,6596.38480453409,6687.86191765775,7741.49625671477
"P70424","Erbb2","Receptor tyrosine-protein kinase erbB-2;Receptor protein-tyrosine kinase",0.0224624499677591,0.169233834477963,24,9,24,56959.5364552962,58907.8564198985,50258.3291196544,51759.0653941607,50033.7492639561,51397.0926819259,57089.5637116373,53801.6348845238,50571.5458740507,50429.8313127318,49564.8854561045,52421.4563439981,52278.2110862,50845.3194497259,52852.6828767861,53414.0997710464,49830.5911928276,53273.4078973229,48757.3572254272,51376.2029213051,48776.0354155819,53478.6976614072,50112.3798505749,52545.4858282063
