"Uniprot_ID","pVal.WT","pVal.CKO","Baseline.WT","Baseline.CKO"
"A2A9Q2",0.0395102153742563,0.910609238964569,1025911.57376701,1010363.46700737
"A2A9W3",0.224404968802445,0.876615991047746,72801.6022206462,73322.5147970839
"A2A9W7",0.0114165657182895,0.931577894469648,25139.6568468944,20185.6159186168
"A2AAY5",0.705051479727168,0.0926285628690276,206701.809902702,216755.294854348
"A2ABY3",0.697914130157634,0.811855214251221,158792.897994092,144075.230264035
"A2AC29",0.884994658498032,0.0551669367058349,15212.1409644467,19541.0947222009
"A2ACC6",0.0492723213779756,0.126461944718094,97571.2072775662,105273.348484849
"A2ACV6",0.35052510228705,0.00754206047394462,94137.7158117401,117182.822635187
"A2AD03",0.751841306320058,0.517608646972834,80511.3398195686,94226.3295315559
"A2AD85",0.0874899919779408,0.0026447923761572,1042432.988378,584245.885809556
"A2ADE0",0.85040498231505,0.848242593008722,31052.7001986938,33266.5753256774
"A2ADR8",0.633086005971084,0.152842872593184,191956.480255166,175160.475229544
"A2ADY9",0.476327863631831,0.22821967285582,268955.470484179,244592.316343561
"A2AE27",0.888528592878295,0.0217765651619059,222078.043044802,291517.833635609
"A2AEM2",0.00519765857683682,0.0956801558491824,27421.0215247609,30666.6473049801
"A2AER7",0.682388374598215,0.00998259889368931,159298.575682227,140723.909177502
"A2AEW0",0.675005102762315,0.286432762002576,52284.9630556399,63502.5542562509
"A2AEX8",0.690889009752477,0.361768010311821,941929.685798581,697657.437973658
"A2AF47",0.357563044141723,0.908947527792347,320271.666747645,283388.916424143
"A2AFF6",0.864694367337235,0.150434451183396,218398.105695411,192106.567123202
"A2AFQ0",0.793279269798548,0.470285761825181,915874.554270023,986995.374686275
"A2AG68",0.802602873170312,2.2345741033977e-05,114548.762720111,114397.14766317
"A2AGH8",0.0662378138178072,0.838399847085081,31344.4165001895,32016.3180385483
"A2AHD1",0.139939086771603,0.769676430632553,51826.3976851842,52481.0237094434
"A2AI08",0.311048262172731,0.852285234262969,33165.5887043418,20158.1356969782
"A2AI89",0.851346348351775,0.742804913968014,28625.9598269683,30027.6779618102
"A2AIG8-2",0.0945001197630482,0.384373646482444,58060.0194736206,50135.2838360216
"A2AII0",0.00606770969015427,0.499120758029506,14917.0987949158,13671.8006010589
"A2AIX1",0.309680387077764,0.625362099888949,572301.71557791,533546.058810372
"A2AJ15",0.877383382867731,0.0195177169789697,131837.096408705,149017.895100944
"A2AJ72",0.0799853153733733,0.208901435244258,894163.196316258,773429.112766406
"A2AJH3",0.817439850907954,0.851755386942728,128215.325114576,209685.075801523
"A2AJQ3-2",0.64496924220839,0.106985701117274,27538.155260868,27310.2918252647
