"Uniprot_ID","Protein_names","Gene_names","pVal","WT_Relative_amplitudes","Means","phase","peak.shape","period","X1.WT1","X2.WT1","X3.WT1","X4.WT1","X5.WT1","X6.WT1","X7.WT1","X8.WT1","X9.WT2","X10.WT2","X11.WT2","X12.WT2","X13.WT2","X14.WT2","X15.WT2","X16.WT2","X17.WT3","X18.WT3","X19.WT3","X20.WT3","X21.WT3","X22.WT3","X23.WT3","X24.WT3","logbase","CKO_logbase","CKO_means"
"Q9CPW3","39S ribosomal protein L54, mitochondrial","Mrpl54",0.0115138437894825,0.25033695569381,42586.4804928743,15,12,24,43947.7422921814,47444.5584627541,43130.7785083374,41646.1054737248,46385.6551845403,44082.0485335918,45304.8034922668,43270.8948901485,40681.8020196839,41274.9665350152,41275.5186742371,43373.4578149014,43276.2932659107,43631.28122094,41559.5015663161,39500.3728568189,38860.9400683745,39377.0479058059,33953.7868320327,44676.409158191,46148.7838770604,45360.8141128551,41797.5955042542,42114.3735790409,4.62927174982527,4.61255934621893,40978.8103416895
"Q9CQ75","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2","Ndufa2",0.0455384969997425,0.136269893210715,198460.351496151,6,12,24,203073.639943321,206884.054371619,201672.092894752,211546.697883977,195909.694272053,200573.818441679,199370.653768793,205033.009253641,202319.271786719,207703.038125584,201308.479303562,204569.692415588,199395.635028406,186920.238118508,196103.221131211,184096.044995377,194543.640578813,208223.726793689,184495.045068539,186503.413158464,193557.647483127,196754.599095165,194578.228307421,197912.85368762,5.29767375620571,5.29715782089877,198224.723574981
"Q9CQJ8","NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9","Ndufb9",0.0403366150898708,0.0903986878209007,186662.552818997,18,18,24,181516.600034142,188016.829359489,191085.668041458,180274.242048901,194643.778993317,193407.038884949,191977.247874815,187738.17636193,186529.427794398,182254.750766065,188785.401216337,180269.720564213,182525.708261773,179134.199959231,192963.910538294,188108.808131855,179402.675341946,186080.201234112,179043.30018059,185566.777823974,182940.980300571,197327.25949525,191460.967723655,188847.596724656,5.27105720099531,5.29025405501176,195098.55599419
"Q9CQS4","Solute carrier family 25 member 46","Slc25a46",0.0403366150898708,0.181637412520306,45298.1281440645,24,12,24,45781.1691972439,45743.1365766313,45471.640421779,42920.4096258753,42796.2557854023,43105.9172398506,44409.6930628318,48488.9948706716,47690.1358351039,48077.836040511,44582.2391708247,42388.4825749955,49178.6361482981,46940.6440549691,47298.9450268272,48959.9529156909,43828.8124562723,43573.2031739659,41997.7616862328,45980.2757936648,43713.9133008365,43861.8076254719,46376.5238046014,43988.6890689953,4.65608025601945,4.71205785868584,51529.7290257343
"Q9CQU1","Microfibrillar-associated protein 1","Mfap1",0.0347919221380812,0.0896504653568275,275379.25638257,3,18,24,283041.434901227,281197.565840127,279374.524523882,289746.117803955,290115.318742801,283895.645162369,278724.429326844,281007.512692048,293993.263618597,281548.997454205,270891.391530205,269027.216121993,272204.482469659,268685.778995945,268794.170875601,261163.016154574,285514.063091187,279367.27692308,268753.580113607,272583.591132682,265995.732192679,265315.296461493,255756.345119895,262405.401933035,5.4399312228567,5.40706011792274,255305.468896543
"Q9CQX6","","Gm16286",0.0416377962218021,0.427306573116067,74129.944849289,15,12,24,73189.2143299938,73534.1990745302,72771.0600022782,74154.2417615086,74737.5258070493,73437.9497514309,73024.947043712,71605.8760513394,61516.2930287216,64985.4515432837,78594.8863498806,76309.0561387917,94187.513180207,77808.3069875997,76619.4319361961,73880.4694308627,73453.1573727471,76532.0963160081,74631.458573197,72543.9828969755,73527.7085073595,74930.4914763817,73247.5534850828,69895.8053377996,4.8699936770183,4.88620556035818,76949.4571441614
"Q9CVI1","Ribosyldihydronicotinamide dehydrogenase [quinone]","Nqo2",0.0341643638685581,0.0910858101641445,807545.265419139,15,9,24,810476.985121366,758716.516482539,810774.785900776,789657.486126645,824237.063811037,796641.639049553,800367.740931135,781557.52154822,813152.423008949,822270.823746594,831764.141135674,840736.506008703,853223.966922503,827305.947973557,783456.638777656,774603.880921768,828138.792480954,810387.667009602,803612.547999752,807609.631579541,811677.75968893,801481.117017278,817425.71176135,781809.075055243,5.9071668752394,5.82290267772518,665124.089967581
"Q9CY64","Biliverdin reductase A","Blvra",0.0301980969842506,0.0775820555323021,575886.377541082,3,18,24,594793.496975893,573488.082895058,580420.192948126,586742.766247849,572148.107849458,590790.440341334,557843.23976021,547211.180692131,586342.852208391,588210.49732304,586159.545777265,577641.43352729,572518.382147962,573730.234991788,570999.954173082,572584.298610977,587135.844333575,580114.000220581,564286.849585797,574163.943207876,564992.911968219,565126.235689257,573880.623842868,579947.945667938,5.760336805516,5.65010497226874,446791.572010824
"Q9CZH3","Proteasome assembly chaperone 3","Psmg3",0.0231815048497708,0.157414613294552,47596.5540734454,12,15,24,45231.8247410506,49725.2331678414,46485.1286902739,48780.851075893,50811.3507726637,46369.173824187,49496.1484390522,47608.430113683,47622.3518323774,48455.33906353,48992.5182390561,51498.8567220845,48517.652989371,45462.8837086604,43510.6244963934,47725.5414768155,46832.316689166,44985.3715903359,47405.8810814904,49286.4215447012,48380.1180289478,48447.0573511336,46945.0122685094,43741.2098554714,4.67757551152174,4.68920469375973,48888.2727603135
"Q9D023","Mitochondrial pyruvate carrier 2","Mpc2",0.0286263233967863,0.209865689936905,87887.3741606774,24,12,24,85975.1025670409,89933.6484979914,89924.3586972941,82929.5894262581,78541.2146303613,79858.4617387091,88395.3234390349,89744.0335589582,82419.2704400741,84146.7313871025,81668.7950590893,79771.5471100948,88994.929439945,84891.6609971544,96139.4638774314,99480.3295960884,87276.4267082058,85782.2385322739,83660.5400248956,96193.9668036078,86963.4803478422,95281.110050126,95036.3407432518,96288.4161834257,4.94392648911024,4.98883688673904,97462.3517758556
"Q9D0P0","Emopamil-binding protein-like","Ebpl",0.00128343773088645,0.447988822515822,24688.0471668289,3,12,24,26784.7385278384,27772.978553024,25992.3019656464,22957.1857581893,22769.4418456993,22229.7982865774,24489.6190107313,25361.7521959845,27411.2073629666,26219.8257606613,26625.2789371362,18969.7978082992,21391.8214879932,26276.2021672632,29390.7859711279,25181.9253073004,24427.4174091894,24398.217559703,24416.3211918335,24045.9677876101,22907.0930660148,24864.8845860602,23517.2674481052,24111.3020089394,4.39248673844501,4.37127979647889,23511.4707174405
"Q9D172","ES1 protein homolog, mitochondrial","D10Jhu81e",0.00660941970887435,0.0942226257810889,733825.314700947,12,18,24,714781.282456696,722522.786637879,716190.107297462,756346.512718395,743401.690654698,753235.280807384,733026.901616161,734133.070832246,716516.476965568,722352.380710094,739881.420482443,772223.832874471,716211.949507612,727046.938486767,726728.654898295,731894.541435693,697496.117798802,714320.254403133,749680.273373866,727828.104243665,745519.528506149,735919.777801996,771799.817299783,742749.85101347,5.86559268949311,5.82299990920418,665273.017116362
"Q9D1M7","Peptidyl-prolyl cis-trans isomerase FKBP11","Fkbp11",0.00112337168093858,0.219789345306426,294783.43068231,24,12,24,306943.37965557,336881.173888964,305258.853762717,277358.276696935,280065.734744846,272346.262622092,310104.885843615,326852.94164462,298736.004758724,286154.52622288,283685.116539761,270327.504964843,298263.248246195,292425.802249343,314457.735208339,309111.759217242,285101.203282159,294560.547415695,285628.564169263,284512.777548114,266206.745125158,302034.354469676,293618.345836499,294166.592262196,5.46950306885637,5.56278465272543,365413.554390076
"Q9D281","Protein Noxp20","Fam114a1",0.0138361819979684,0.10366352955447,925879.468211803,9,15,24,925790.024277228,912015.352370834,945704.411906513,963582.7120012,929274.58324998,938984.333394143,923709.656787746,933398.718949894,950940.485326313,941252.611577554,945490.991319308,952722.20510515,919783.183366063,902804.214555755,917360.838619821,903193.004897487,949958.377102913,883811.114427781,980048.467441052,914985.878640209,936041.007555974,868621.985661448,905120.989123529,876512.08942538,5.96655445353118,5.96181239394214,915824.787665079
"Q9D6N1","Carbonic anhydrase 13","Ca13",0.00409036366462955,0.192023892158444,37575.0946984679,9,15,24,37553.7319945435,37665.6196591254,38356.2907695112,38181.2376798443,39350.9119787922,37875.0999732609,36018.9413827941,35559.2338012056,39174.2317886284,41229.8323067944,39664.9144686344,37983.7545769884,40102.1790097092,36742.221081324,36015.8776096672,36244.8642941423,34091.0787860159,39755.124931072,40780.1997485545,34525.6265574034,40754.3721792219,33746.5831162293,38362.062247654,32068.2828221139,4.57490008378909,4.71804268717087,52244.7538284623
"Q9D6W8","Uncharacterized protein C17orf59 homolog","",0.0153107921900959,0.134898983614432,29005.3481726417,18,9,24,27322.5924268627,28265.2513161183,28725.6422927828,29886.8535137864,29722.2769655162,28126.8028183446,29121.1327417639,29429.2027421572,28427.5666741952,27145.0763110842,29005.436401406,29704.2706924188,30858.0491182711,29778.5569318709,29005.4474175853,28747.6110235673,27125.7072349465,28982.9034551017,29016.1277908641,28755.9556021057,28122.3885329253,30362.1127865782,29325.1420647063,31166.2492884421,4.4624780829927,4.50253448068147,31807.8621588214
"Q9D6X6","Serine protease 23","Prss23",0.0329289333961039,0.256479654180099,500970.685695048,24,12,24,439121.845584485,471685.720776393,452843.411794468,371706.677938344,414568.718315209,421506.329097576,494774.519622492,523220.84766831,503684.512581714,441415.684199448,507518.030161677,460778.163859447,529651.665577567,559694.615478768,568708.780419348,601644.132861146,535395.917385292,536690.600688219,499887.628829262,515259.554730769,485230.493075341,584535.069365591,543273.901201878,560499.635468403,5.69981231386455,5.67120213091969,469031.629762104
"Q9D6Y7-2","Mitochondrial peptide methionine sulfoxide reductase","Msra",0.014045016881358,0.251338175450563,36047.9148364121,15,15,24,35916.8552177747,34664.7664072286,34078.0376023499,33782.753372221,36574.7759835592,33646.5999052596,35366.3760896646,36303.6149633795,35356.3884846305,35316.3514369565,39133.6603208741,38770.6575929867,41814.8515804331,36328.1027073334,37694.2364895131,35509.8931192732,35526.883196413,31128.3826351546,35464.9800249576,33499.9555842813,37692.4478236788,37969.877134332,36210.7079923562,37398.8004092789,4.55688014835557,4.63147856120238,42803.4289299301
"Q9D7W5","Mediator of RNA polymerase II transcription subunit 8","Med8",0.0354151654569402,0.20036855110346,41653.1277795229,12,9,24,39924.0741824095,40519.5712222906,42979.6035983106,45540.8394340476,42390.1304905431,42764.3039048221,39110.5011614788,42221.5871033288,41603.4416685868,46304.4678504649,41697.2731955514,39984.0523527877,42159.3100256236,38399.1195863723,39911.0401976725,42547.1683180597,39716.322988768,41146.6451704124,41818.7909873957,43939.4038795884,42731.7741875929,41791.5408980127,38826.8010321523,41647.303272278,4.6196476186212,4.67426339194466,47234.9426008341
