"Uniprot_ID","Protein_names","Gene_names","pVal","WT_Relative_amplitudes","phase","peak.shape","period","X1.WT1","X2.WT1","X3.WT1","X4.WT1","X5.WT1","X6.WT1","X7.WT1","X8.WT1","X9.WT2","X10.WT2","X11.WT2","X12.WT2","X13.WT2","X14.WT2","X15.WT2","X16.WT2","X17.WT3","X18.WT3","X19.WT3","X20.WT3","X21.WT3","X22.WT3","X23.WT3","X24.WT3"
"Q548F2","Guanine deaminase","Gda",0.00129719689501329,0.100905967630499,9,15,24,1370093.89434419,1327019.68389122,1327365.78751887,1338797.77258626,1333151.51868291,1322119.7904727,1289409.65429736,1261200.46835977,1303877.68729067,1268064.31121439,1318953.03659451,1296153.27504152,1299560.62127151,1259879.89685628,1203443.44692455,1197476.48249486,1294304.10866865,1314498.87543136,1331478.16943482,1321917.27653747,1336825.10307568,1250017.15461904,1298722.53469011,1215276.49007253
"Q564F2","Guanylate kinase","Guk1",0.038253999730223,0.204499553732044,15,15,24,18630.6002857991,14756.8366238849,17610.6998328981,18443.1382666494,19220.0819688165,17765.2646773392,18467.1564467026,16067.750650406,15658.7185650479,16367.1441612247,16902.1337198221,17882.0385955134,16838.8886391491,16401.9423191188,14775.4612779766,17983.6875830901,15249.8841288054,15247.2240316456,16369.9740286761,16240.0560682449,20463.7526049705,17824.2371432047,14074.6681085455,15422.2748702093
"Q571B0","Transmembrane 9 superfamily member 3","Tm9sf3",0.0116670949500411,0.171449841383993,21,18,24,1146574.81902775,1239389.40154954,1187244.77991131,1050684.8801459,1028727.44712711,1038821.2884725,1180616.57782977,1180842.94902192,1160054.60117999,1053942.65136153,1130570.81044254,1017055.76483725,1128766.28531999,1099152.08682545,1209246.0459894,1150609.95217683,1141311.2202181,1132246.06229153,1106823.64809036,1202151.04324244,1121842.18398681,1290038.22126899,1243440.28583837,1181026.5865372
"Q571M3","Leucine-rich repeat-containing protein 1","Lrrc1",0.00662062960968368,0.172456875866534,24,9,24,122254.158061968,129898.46981933,125375.215668352,121020.103374334,129709.894731802,129688.93898754,137488.422966265,143861.605740587,139884.609441293,138818.829524294,132398.20749659,135278.94338663,141842.322734992,147998.524530378,149374.577372022,150843.297452699,133183.852990326,141136.544975761,124971.576148458,127970.247381764,132033.714439471,136008.184512335,133633.646412756,133256.296209704
"Q5HZH8","Mitotic spindle assembly checkpoint protein MAD2A","Mad2l1",0.036062384083478,0.131358115730243,15,9,24,73976.2485483538,66748.4736174178,71561.3320544285,67528.3221266404,71973.0587908172,68210.1502897116,68699.4973546835,65457.6457963232,70421.209389628,65523.0407958924,71630.9577288728,69872.2629641572,73811.8416052374,67704.3068689675,64862.739202204,65481.0616711909,67501.9383016208,69202.0762333131,67092.1972263067,67338.699101956,68321.440697028,67556.7763679469,68928.8748088145,62762.0128497713
"Q8VC72","NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial","Ndufs8",0.00987513590069245,0.104102119648673,6,18,24,360509.185706829,357677.237303123,351893.953478167,353664.805955234,366159.665535565,353826.22369371,353252.695492817,345124.662892414,364716.774066538,380751.852656365,364663.60706027,367870.026247107,356329.471459513,348882.416777073,347622.584601093,355205.450265492,363394.363444695,363725.834711942,365106.453320361,364193.619014331,353205.233020801,347355.630122241,358626.545694596,344149.869483426
"Q5RKP4","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1","Rpn1",0.0402634359043506,0.164095583183174,21,15,24,2807749.3444655,3053331.85528364,2953428.66273039,2559924.43008098,2678661.19315018,2558872.95743469,2927274.88403468,2965784.62179937,2948633.09454433,2731240.59579497,2743018.58654027,2693492.64386594,2971720.82186317,2866497.42247834,3027720.7488218,3102285.06682506,2822522.3193535,2947492.13055869,2775241.3941738,2923004.92055577,2750979.02776537,3103451.10848218,2970129.93779664,2897849.98130847
"Q5SQF9","Polypeptide N-acetylgalactosaminyltransferase;Polypeptide N-acetylgalactosaminyltransferase 10","Galnt10",0.00337011504281575,1.40279837495718,3,6,24,15580.9690741483,16973.0168121131,8855.49642385843,9316.87987680758,13506.0519474772,9132.93769910039,20131.9031860993,21068.8937467243,24205.8932836813,16286.227771731,12270.5741081513,13509.7794127802,14900.2421795411,10803.3043780822,20529.4417393955,23208.6720284296,14311.1977905713,28375.8440828816,6980.41145596705,11921.2875312431,12712.8431900916,14357.2362402482,9533.1704102662,15160.4245545331
"Q5SWZ0","Phosphoribosyl pyrophosphate synthase-associated protein 2","Prpsap2",0.037011394190938,0.104166675139528,24,9,24,105528.266528291,114070.761287583,104933.464329447,108843.189845073,109957.838349766,110479.314676323,108922.83713372,118724.900406985,108908.286536207,112403.964054194,108598.387784497,108292.704110961,109756.502375484,109432.052350576,107348.108589435,117104.548943939,106187.843250749,110016.374273709,107316.540800716,109099.360958774,108889.701803115,111607.856716196,105673.463065695,110943.513943812
"Q5U4C3","Splicing factor, arginine/serine-rich 19","Scaf1",0.0272693443784961,0.172539990990943,6,18,24,134987.966386832,141887.352053648,140833.832516527,128296.960076038,141357.353377873,123732.381048966,133270.91723314,128511.902566953,137760.089198602,136786.69319146,128042.346562091,130935.34383796,128847.425865838,131540.78857716,129516.352611983,124417.074283377,139269.491879871,146538.65820242,129229.018785732,138284.268853918,134873.575163701,137358.845059581,120744.178021923,127071.895319704
